url,date,position,team,matches,wins,losses,ties,no_result,points,net_run_rate,runs_for,overs_for,runs_against,overs_against
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=18+Apr+2008;view=pointstable,18-Apr-08,1,Kolkata Knight Riders,1,1,0,0,0,2,7,222,20,82,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=18+Apr+2008;view=pointstable,18-Apr-08,2,Royal Challengers Bangalore,1,0,1,0,0,0,-7,82,20,222,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=19+Apr+2008;view=pointstable,19-Apr-08,1,Kolkata Knight Riders,1,1,0,0,0,2,7,222,20,82,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=19+Apr+2008;view=pointstable,19-Apr-08,2,Delhi Daredevils,1,1,0,0,0,2,2.253,132,15.1,129,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=19+Apr+2008;view=pointstable,19-Apr-08,3,Chennai Super Kings,1,1,0,0,0,2,1.65,240,20,207,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=19+Apr+2008;view=pointstable,19-Apr-08,4,Kings XI Punjab,1,0,1,0,0,0,-1.65,207,20,240,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=19+Apr+2008;view=pointstable,19-Apr-08,5,Rajasthan Royals,1,0,1,0,0,0,-2.253,129,20,132,15.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=19+Apr+2008;view=pointstable,19-Apr-08,6,Royal Challengers Bangalore,1,0,1,0,0,0,-7,82,20,222,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=20+Apr+2008;view=pointstable,20-Apr-08,1,Kolkata Knight Riders,2,2,0,0,0,4,3.764,334,39,192,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=20+Apr+2008;view=pointstable,20-Apr-08,2,Delhi Daredevils,1,1,0,0,0,2,2.253,132,15.1,129,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=20+Apr+2008;view=pointstable,20-Apr-08,3,Chennai Super Kings,1,1,0,0,0,2,1.65,240,20,207,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=20+Apr+2008;view=pointstable,20-Apr-08,4,Royal Challengers Bangalore,2,1,1,0,0,2,-3.423,248,39.4,387,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=20+Apr+2008;view=pointstable,20-Apr-08,5,Mumbai Indians,1,0,1,0,0,0,-0.191,165,20,166,19.4
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=20+Apr+2008;view=pointstable,20-Apr-08,6,Deccan Chargers,1,0,1,0,0,0,-0.395,110,20,112,19
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=20+Apr+2008;view=pointstable,20-Apr-08,7,Kings XI Punjab,1,0,1,0,0,0,-1.65,207,20,240,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=20+Apr+2008;view=pointstable,20-Apr-08,8,Rajasthan Royals,1,0,1,0,0,0,-2.253,129,20,132,15.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=21+Apr+2008;view=pointstable,21-Apr-08,1,Kolkata Knight Riders,2,2,0,0,0,4,3.764,334,39,192,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=21+Apr+2008;view=pointstable,21-Apr-08,2,Delhi Daredevils,1,1,0,0,0,2,2.253,132,15.1,129,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=21+Apr+2008;view=pointstable,21-Apr-08,3,Chennai Super Kings,1,1,0,0,0,2,1.65,240,20,207,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=21+Apr+2008;view=pointstable,21-Apr-08,4,Rajasthan Royals,2,1,1,0,0,2,-0.692,297,38.1,298,35.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=21+Apr+2008;view=pointstable,21-Apr-08,5,Royal Challengers Bangalore,2,1,1,0,0,2,-3.423,248,39.4,387,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=21+Apr+2008;view=pointstable,21-Apr-08,6,Mumbai Indians,1,0,1,0,0,0,-0.191,165,20,166,19.4
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=21+Apr+2008;view=pointstable,21-Apr-08,7,Deccan Chargers,1,0,1,0,0,0,-0.395,110,20,112,19
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=21+Apr+2008;view=pointstable,21-Apr-08,8,Kings XI Punjab,2,0,2,0,0,0,-1.365,373,40,408,38.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=22+Apr+2008;view=pointstable,22-Apr-08,1,Kolkata Knight Riders,2,2,0,0,0,4,3.764,334,39,192,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=22+Apr+2008;view=pointstable,22-Apr-08,2,Delhi Daredevils,2,2,0,0,0,4,2.988,275,28.1,271,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=22+Apr+2008;view=pointstable,22-Apr-08,3,Chennai Super Kings,1,1,0,0,0,2,1.65,240,20,207,20
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=22+Apr+2008;view=pointstable,22-Apr-08,4,Rajasthan Royals,2,1,1,0,0,2,-0.692,297,38.1,298,35.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=22+Apr+2008;view=pointstable,22-Apr-08,5,Royal Challengers Bangalore,2,1,1,0,0,2,-3.423,248,39.4,387,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=22+Apr+2008;view=pointstable,22-Apr-08,6,Mumbai Indians,1,0,1,0,0,0,-0.191,165,20,166,19.4
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=22+Apr+2008;view=pointstable,22-Apr-08,7,Kings XI Punjab,2,0,2,0,0,0,-1.365,373,40,408,38.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=22+Apr+2008;view=pointstable,22-Apr-08,8,Deccan Chargers,2,0,2,0,0,0,-1.669,252,40,255,32
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=23+Apr+2008;view=pointstable,23-Apr-08,1,Kolkata Knight Riders,2,2,0,0,0,4,3.764,334,39,192,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=23+Apr+2008;view=pointstable,23-Apr-08,2,Delhi Daredevils,2,2,0,0,0,4,2.988,275,28.1,271,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=23+Apr+2008;view=pointstable,23-Apr-08,3,Chennai Super Kings,2,2,0,0,0,4,0.975,448,40,409,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=23+Apr+2008;view=pointstable,23-Apr-08,4,Rajasthan Royals,2,1,1,0,0,2,-0.692,297,38.1,298,35.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=23+Apr+2008;view=pointstable,23-Apr-08,5,Royal Challengers Bangalore,2,1,1,0,0,2,-3.423,248,39.4,387,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=23+Apr+2008;view=pointstable,23-Apr-08,6,Mumbai Indians,2,0,2,0,0,0,-0.254,367,40,374,39.4
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=23+Apr+2008;view=pointstable,23-Apr-08,7,Kings XI Punjab,2,0,2,0,0,0,-1.365,373,40,408,38.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=23+Apr+2008;view=pointstable,23-Apr-08,8,Deccan Chargers,2,0,2,0,0,0,-1.669,252,40,255,32
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=24+Apr+2008;view=pointstable,24-Apr-08,1,Kolkata Knight Riders,2,2,0,0,0,4,3.764,334,39,192,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=24+Apr+2008;view=pointstable,24-Apr-08,2,Delhi Daredevils,2,2,0,0,0,4,2.988,275,28.1,271,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=24+Apr+2008;view=pointstable,24-Apr-08,3,Chennai Super Kings,2,2,0,0,0,4,0.975,448,40,409,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=24+Apr+2008;view=pointstable,24-Apr-08,4,Rajasthan Royals,3,2,1,0,0,4,-0.419,514,58,512,55.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=24+Apr+2008;view=pointstable,24-Apr-08,5,Royal Challengers Bangalore,2,1,1,0,0,2,-3.423,248,39.4,387,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=24+Apr+2008;view=pointstable,24-Apr-08,6,Mumbai Indians,2,0,2,0,0,0,-0.254,367,40,374,39.4
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=24+Apr+2008;view=pointstable,24-Apr-08,7,Deccan Chargers,3,0,3,0,0,0,-1.339,466,60,472,51.5
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=24+Apr+2008;view=pointstable,24-Apr-08,8,Kings XI Punjab,2,0,2,0,0,0,-1.365,373,40,408,38.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=25+Apr+2008;view=pointstable,25-Apr-08,1,Kolkata Knight Riders,2,2,0,0,0,4,3.764,334,39,192,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=25+Apr+2008;view=pointstable,25-Apr-08,2,Delhi Daredevils,2,2,0,0,0,4,2.988,275,28.1,271,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=25+Apr+2008;view=pointstable,25-Apr-08,3,Chennai Super Kings,2,2,0,0,0,4,0.975,448,40,409,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=25+Apr+2008;view=pointstable,25-Apr-08,4,Rajasthan Royals,3,2,1,0,0,4,-0.419,514,58,512,55.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=25+Apr+2008;view=pointstable,25-Apr-08,5,Kings XI Punjab,3,1,2,0,0,2,0.241,555,60,524,58.1
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=25+Apr+2008;view=pointstable,25-Apr-08,6,Royal Challengers Bangalore,2,1,1,0,0,2,-3.423,248,39.4,387,40
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=25+Apr+2008;view=pointstable,25-Apr-08,7,Mumbai Indians,3,0,3,0,0,0,-1.268,483,60,556,59.4
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=25+Apr+2008;view=pointstable,25-Apr-08,8,Deccan Chargers,3,0,3,0,0,0,-1.339,466,60,472,51.5
http://www.espncricinfo.com/ipl/engine/series/313494.html?date=26+Apr+2008;view=pointstable,26-Apr-08,1,Chennai Super Kings,3,3,0,0,0,6,1.26,600,57,556,60
